星官,Bayer 編號,DEJ2000 (度),Flamsteed,HIP,RAJ2000 (度),Star 1,Star 2,Vmag (視星等),序號,星點,英文星名
氐宿,α2 Lib,-16.041778,9 Lib,72622,222.719638,"9,α2 Lib天秤","9,α2 Lib",2.75,928,氐宿一,Zubenelgenubi
奎宿,,39.458664,32 And,3231,10.279936,32 And仙女,32 And,5.300000191,1917,奎宿增廿二,
天苑,ρ2 Eri,-7.685472,9 Eri,14168,45.676145,"9,ρ2 Eri波江","9,ρ2 Eri",5.320000172,2279,天苑增十一,
天弁,δ Sct,-9.052549,,91726,280.568445,δ Sct盾牌,δ Sct,4.7,1128,天弁二,
柳宿,,11.626023,60 Cnc,43851,133.981451,60 Cnc巨蟹,60 Cnc,5.440000057,2897,柳宿增十二,
壁宿,,13.396266,86 Peg,476,1.424839,86 Peg飛馬,86 Peg,5.550000191,1821,壁宿增十,
三台,,31.746058,62 UMa,57029,175.392747,62 UMa大熊,62 UMa,5.730000019,471,下台增二,
斗,,7.858242,12 Her,79608,243.676007,12 Her武仙,12 Her,6.590000153,550,斗增六,
翼宿,,-8.897763,41 Sex,52980,162.575234,41 Sex六分儀,41 Sex,5.800000191,3068,翼宿增一,
內廚,,66.597272,9 Dra,63432,194.979461,9 Dra天龍,9 Dra,5.369999886,148,內廚增一,
天溷,,-8.740662,21 Cet,4257,13.573304,21 Cet鯨魚,21 Cet,6.15,1974,天溷一,
弧矢,π PuP,-37.09747,,35264,109.285652,π PuP船尾,π PuP,2.71,2757,弧矢九,
北極,,73.891872,,73808,226.280378,,,7.559999943,8,庶子增三,
候,,15.13686,,85000,260.604057,,,7.730000019,526,候增二,
奎宿,π And,33.719344,29 And,2912,9.220207,"29,π And仙女","29,π And",4.34,1885,奎宿六,
庫樓,,-47.525095,,65519,201.454161,,,8.770000458,854,庫樓增一,
帝席,,27.492082,9 Boo,68103,209.142421,9 Boo牧夫,9 Boo,5.02,968,帝席三,
孫,κ Col,-35.140519,,29807,94.138065,κ Col天鴿,κ Col,4.37,2738,孫一,
左旗,,26.904169,18 Vul,99404,302.639737,18 Vul狐狸,18 Vul,5.510000229,1277,左旗增十三,
虛梁,κ Aqr,-4.228056,63 Aqr,111710,339.439088,"63,κ Aqr寶瓶","63,κ Aqr",5.04,1551,虛梁三,Situla
井宿,,15.178285,,34858,108.200672,,,7.460000038,2608,井宿增十六,
五諸侯,,17.409446,36 Com,63355,194.731009,36 Com后髮,36 Com,4.76,358,五諸侯二,
天市右垣,τ4 Ser,15.101424,17 Ser,76423,234.117447,"17,τ4 Ser巨蛇","17,τ4 Ser",6.510000229,627,周增二,
從官,χ Lup,-33.627165,5 Lup,77634,237.73974,"5,χ Lup豺狼","5,χ Lup",3.97,1040,從官二,
軒轅,,4.61468,19 Sex,50027,153.20152,19 Sex六分儀,19 Sex,5.769999981,3013,軒轅增五三,
天鉤,ι Cep,66.200408,32 Cep,112724,342.420069,"32,ι Cep仙王","32,ι Cep",3.5,1631,天鉤八,
馬尾,ρ Cen,-52.36846,,59449,182.912963,ρ Cen半人馬,ρ Cen,3.97,3110,馬尾二,
牛宿,ν Cap,-12.75908,8 Cap,100310,305.165901,"8,ν Cap摩羯","8,ν Cap",4.769999981,1209,牛宿增七,
貫索,ρ CrB,33.303509,15 CrB,78459,240.26109,"15,ρ CrB北冕","15,ρ CrB",5.39,746,貫索九,
天倉,,-13.056512,47 Cet,6748,21.714855,47 Cet鯨魚,47 Cet,5.510000229,2075,天倉增十六,
天江,,-24.98907,26 Oph,83196,255.039626,26 Oph蛇夫,26 Oph,5.739999771,1084,天江增九,
天狗,β Pyx,-35.308352,,42515,130.025598,β Pyx羅盤,β Pyx,3.97,2863,天狗四,
天江,,-24.906103,,84947,260.42317,,,6.360000134,1079,天江增四,
天社,,-55.015438,,44152,134.87807,,,8.91,2870,天社四*,
柳宿,α Cnc,11.857701,65 Cnc,44066,134.621757,"65,α Cnc巨蟹","65,α Cnc",4.260000229,2888,柳宿增三,
鬼宿,,17.390133,71 Cnc,44637,136.439686,71 Cnc巨蟹,71 Cnc,8.090000153,2806,鬼宿增十三,
五車,π Aur,45.936736,35 Aur,28404,89.983747,"35,π Aur御夫","35,π Aur",4.300000191,2362,五車增十六,
車府,"f1,V832 Cyg",47.520951,59 Cyg,103632,314.956486,"59,f1,V832 Cyg天鵝","59,f1,V832 Cyg",4.74,1591,車府五,
天關,,17.729141,130 Tau,27338,86.859151,130 Tau金牛,130 Tau,5.46999979,2390,天關增五,
王良,β Cas,59.14978,11 Cas,746,2.294521,"11,β Cas仙后","11,β Cas",2.28,1919,王良一,Caph
天津,b2 Cyg,36.839622,28 Cyg,99303,302.356746,"28,b2 Cyg天鵝","28,b2 Cyg",4.929999828,1388,天津增六,
海山,λ Mus,-66.728763,,57363,176.401746,λ Mus蒼蠅,λ Mus,3.63,3102,海山六,
天乳,,-3.818513,,77464,237.236657,,,5.53000021,983,天乳增四,
天園,χ Eri,-51.608896,,9007,28.989468,χ Eri波江,χ Eri,3.69,2455,天園二,
大陵,,51.065818,6 Per,10366,33.401426,6 Per英仙,6 Per,5.309999943,2113,大陵增六,
天狼,α CMa,-16.716116,9 CMa,32349,101.287155,"9,α CMa大犬","9,α CMa",-1.44,2726,天狼,Sirius
鈇鑕,υ Cet,-21.077832,59 Cet,9347,30.001283,"59,υ Cet鯨魚","59,υ Cet",3.99,2090,鈇鑕四,
玉井,,-4.456207,68 Eri,23941,77.18208,68 Eri波江,68 Eri,5.110000134,2562,玉井增二,
天鉤,,62.08194,9 Cep,106801,324.480102,9 Cep仙王,9 Cep,4.760000229,1642,天鉤增十,
天節,r Tau,9.460968,66 Tau,20522,65.965938,"66,r Tau金牛","66,r Tau",5.1,2399,天節八,
尾宿,ζ1 Sco,-42.362025,,82671,253.498862,ζ1 Sco天蠍,ζ1 Sco,4.7,1060,尾宿三,
九斿,,-16.329484,59 Eri,22325,72.135554,59 Eri波江,59 Eri,5.760000229,2451,九斿增五,
天紀,,28.357925,46 Her,82000,251.271806,46 Her武仙,46 Her,7.139999866,727,天紀增八,
天津,,27.09698,31 Vul,103004,313.031992,31 Vul狐狸,31 Vul,4.559999943,1406,天津增廿四,
張宿,,-18.101406,,49321,151.011716,,,6.3,3038,張宿四,
螣蛇,,48.625322,11 And,115152,349.874201,11 And仙女,11 And,5.440000057,1698,螣蛇增三,
孔雀,ω Pav,-60.20055,,93163,284.651867,ω Pav孔雀,ω Pav,5.139999866,3148,孔雀增三,
霹靂,,0.962927,2 Psc,113521,344.864396,2 Psc雙魚,2 Psc,5.429999828,1858,霹靂增二,
尾宿,ε Sco,-34.293232,26 Sco,82396,252.540887,"26,ε Sco天蠍","26,ε Sco",2.29,1059,尾宿二,
奎宿,χ Psc,21.03465,84 Psc,5571,17.863417,"84,χ Psc雙魚","84,χ Psc",4.66,1894,奎宿十五,
帛度,,21.595782,95 Her,88267,270.376699,95 Her武仙,95 Her,4.26,599,帛度一,
司非,γ Equ,10.13158,5 Equ,104521,317.585417,"5,γ Equ小馬","5,γ Equ",4.7,1481,司非一,
五車,,39.654653,6 Aur,23268,75.096731,6 Aur御夫,6 Aur,6.460000038,2350,五車增四,
左旗,S Sge,16.634799,10 Sge,98085,299.005267,"10,S Sge天箭","10,S Sge",5.710000038,1292,左旗增廿八,
左更,ε Ari,21.340429,48 Ari,13914,44.803024,"48,ε Ari白羊","48,ε Ari",4.630000114,2052,左更增七,
天市右垣,,16.737358,,77118,236.200741,,,6.989999771,635,周增十,
柳宿,ρ Hya,5.837812,13 Hya,43234,132.108211,"13,ρ Hya長蛇","13,ρ Hya",4.35,2881,柳宿四,
候,,16.099169,,84843,260.103696,,,7.739999771,530,候增六,
弧矢,,-27.012275,,36848,113.644978,,,5.78000021,2784,弧矢增廿七,
雷電,,9.409492,55 Peg,114144,346.751083,55 Peg飛馬,55 Peg,4.54,1718,雷電四,
天倉,ι Cet,-8.823921,8 Cet,1562,4.856977,"8,ι Cet鯨魚","8,ι Cet",3.56,2054,天倉一,
土公,,1.939692,44 Psc,2006,6.350868,44 Psc雙魚,44 Psc,5.769999981,1847,土公增七,
壁宿,,16.331014,39 Psc,1427,4.458258,39 Psc雙魚,39 Psc,7.210000038,1828,壁宿增十七,
八穀,,61.481233,8 Lyn,31676,99.422441,8 Lyn天貓,8 Lyn,5.940000057,297,八穀增廿三,
天園,κ Eri,-47.70384,,11407,36.746343,κ Eri波江,κ Eri,4.24,2457,天園四,
蛇尾,ψ Oct,-77.511553,,110078,334.460813,ψ Oct南極,ψ Oct,5.49,3162,蛇尾二,
牛宿,,-12.665163,65 Sgr,98953,301.359731,65 Sgr人馬,65 Sgr,6.53000021,1204,牛宿增二,
內階,c UMa,61.423318,16 UMa,45333,138.585586,"16,c UMa大熊","16,c UMa",5.18,248,內階二,
雷電,,12.31391,66 Peg,115444,350.769035,66 Peg飛馬,66 Peg,5.09,1719,雷電五,
紫微右垣,λ Dra,69.331076,1 Dra,56211,172.850919,"1,λ Dra天龍","1,λ Dra",3.82,107,三 上輔,Giausar
酒旗,ξ Leo,11.299827,5 Leo,46771,142.986412,"5,ξ Leo獅子","5,ξ Leo",4.99,2900,酒旗二,
座旗,ψ4 Aur,44.52445,55 Aur,32173,100.770714,"55,ψ4 Aur御夫","55,ψ4 Aur",5.04,2488,座旗三,
天江,,-24.243683,,85242,261.276,,,6.170000076,1080,天江增五,
壘壁陣,,-7.204626,78 Aqr,113127,343.642173,78 Aqr寶瓶,78 Aqr,6.199999809,1745,壘壁陣增三,
參宿,κ Ori,-9.669605,53 Ori,27366,86.93912,"53,κ Ori獵戶","53,κ Ori",2.07,2511,參宿六,Saiph
天槍,i Boo,47.65406,44 Boo,73695,225.9471,"44,i Boo牧夫","44,i Boo",4.829999924,183,天槍增四,
南河,α CMi,5.224993,10 CMi,37279,114.825493,"10,α CMi小犬","10,α CMi",0.4,2679,南河三,Procyon
亢宿,,-6.120332,104 Vir,70680,216.851617,104 Vir室女,104 Vir,6.179999828,883,亢宿增六,
候,,13.160954,54 Oph,85979,263.591639,54 Oph蛇夫,54 Oph,6.519999981,527,候增三,
天門,,-16.179072,83 Vir,67057,206.124279,83 Vir室女,83 Vir,5.550000191,833,天門增七,
觜宿,φ2 Ori,9.290673,40 Ori,26366,84.226616,"40,φ2 Ori獵戶","40,φ2 Ori",4.09,2475,觜宿三,
建,,-21.359845,33 Sgr,92747,283.500382,33 Sgr人馬,33 Sgr,5.679999828,1150,建增三,
青丘,,-29.261023,17 Crt,56280,173.068349,17 Crt巨爵,17 Crt,4.93,3089,青丘三,
酒旗,,14.379588,7 Leo,47096,143.97035,7 Leo獅子,7 Leo,6.320000172,2903,酒旗增二,
畢宿,,16.033291,89 Tau,21588,69.539354,89 Tau金牛,89 Tau,5.78000021,2315,附耳增二,
天園,υ3 Eri,-34.016846,43 Eri,20535,66.009239,"43,υ3 Eri波江","43,υ3 Eri",3.97,2464,天園十一,
天鉤,,66.809096,7 Cep,105972,321.942259,7 Cep仙王,7 Cep,5.420000076,1639,天鉤增七,
奚仲,,57.523482,23 Cyg,97870,298.322406,23 Cyg天鵝,23 Cyg,5.139999866,1433,奚仲增七,
軒轅,,32.515615,,42472,129.882758,,,6.710000038,2970,軒轅增十,
軒轅,,8.313979,,48876,149.531796,,,6.050000191,2999,軒轅增卅九,
亢宿,ι Vir,-6.000547,99 Vir,69701,214.003624,"99,ι Vir室女","99,ι Vir",4.07,875,亢宿二,Syrma
羽林軍,g2 Aqr,-19.613375,68 Aqr,112529,341.888018,"68,g2 Aqr寶瓶","68,g2 Aqr",5.24,1762,羽林軍十二,
雷電,q Peg,12.760554,70 Peg,115919,352.288733,"70,q Peg飛馬","70,q Peg",4.54,1720,雷電六,
七公,,43.817645,14 Her,79248,242.60131,14 Her武仙,14 Her,6.610000134,779,七公增十三,
參旗,ο1 Ori,14.250642,4 Ori,22667,73.133176,"4,ο1 Ori獵戶","4,ο1 Ori",4.71,2417,參旗一,
天槍,ι Boo,51.367231,21 Boo,69713,214.041372,"21,ι Boo牧夫","21,ι Boo",4.75,178,天槍二,
內廚,,65.438474,8 Dra,63076,193.868953,8 Dra天龍,8 Dra,5.23,147,內廚二,
天市右垣,κ Ser,18.141564,35 Ser,77450,237.184903,"35,κ Ser巨蛇","35,κ Ser",4.090000153,633,周增八,
大陵,,50.278631,65 And,11313,36.405928,65 And仙女,65 And,4.730000019,2116,大陵增九,
柳宿,b Cnc,10.08167,49 Cnc,42917,131.187652,"49,b Cnc巨蟹","49,b Cnc",5.630000114,2890,柳宿增五,
太微左垣,η Vir,-0.666803,15 Vir,60129,184.976487,"15,η Vir室女","15,η Vir",3.89,404,一 左執法,Zaniah
雷電,ρ Peg,8.816166,50 Peg,113186,343.806969,"50,ρ Peg飛馬","50,ρ Peg",4.909999847,1722,雷電增二,
傳舍,,58.87875,,16281,52.478099,,,4.55,316,傳舍八,
角宿,i Vir,-12.707664,68 Vir,65581,201.679865,"68,i Vir室女","68,i Vir",5.269999981,793,角宿增九,
天市左垣,ξ Her,29.24788,92 Her,87933,269.44119,"92,ξ Her武仙","92,ξ Her",3.700000048,675,中山增一,
天市左垣,,24.327822,84 Her,86731,265.83985,84 Her武仙,84 Her,5.730000019,673,趙增三,
座旗,,40.883393,64 Aur,35341,109.509222,64 Aur御夫,64 Aur,5.869999886,2501,座旗增七,
軍市,ο1 CMa,-24.184211,16 CMa,33152,103.533136,"16,ο1 CMa大犬","16,ο1 CMa",3.89,2716,軍市五,
內平,,36.397558,10 LMi,46952,143.555758,10 LMi小獅,10 LMi,4.539999962,3029,內平增六,
雷電,,9.822082,58 Peg,114389,347.506086,58 Peg飛馬,58 Peg,5.389999866,1725,雷電增五,
壘壁陣,λ Aqr,-7.579599,73 Aqr,112961,343.15365,"73,λ Aqr寶瓶","73,λ Aqr",3.73,1737,壘壁陣七,
南河,δ1 CMi,1.914481,7 CMi,36641,113.024787,"7,δ1 CMi小犬","7,δ1 CMi",5.239999771,2684,南河增五,
土公,,-1.117748,11 Cet,2343,7.480565,11 Cet鯨魚,11 Cet,7.460000038,1849,土公增九,
天倉,,-9.979323,27 Cet,5121,16.403678,27 Cet鯨魚,27 Cet,6.090000153,2073,天倉增十四,
軍井,λ Lep,-13.176789,6 Lep,24845,79.893852,"6,λ Lep天兔","6,λ Lep",4.29,2566,軍井三,
河鼓,ο Aql,10.415727,54 Aql,97675,297.756844,"54,ο Aql天鷹","54,ο Aql",5.119999886,1230,河鼓增五,
孔雀,π Pav,-63.668553,,88866,272.145057,π Pav孔雀,π Pav,4.33,3136,孔雀二,
參旗,,11.341354,18 Ori,24555,79.017226,18 Ori獵戶,18 Ori,5.519999981,2431,參旗增六,
天牢,ω UMa,43.189956,45 UMa,53295,163.494758,"45,ω UMa大熊","45,ω UMa",4.66,202,天牢一,
觜宿,φ1 Ori,9.489579,37 Ori,26176,83.705155,"37,φ1 Ori獵戶","37,φ1 Ori",4.39,2474,觜宿二,
星宿,,-9.424446,34 Hya,47249,144.464605,34 Hya長蛇,34 Hya,6.400000095,2928,星宿增十五,
氐宿,,0.715337,6 Ser,75119,230.258317,6 Ser巨蛇,6 Ser,5.349999905,956,氐宿增廿五,
天市右垣,,17.205638,8 Her,79102,242.194294,8 Her武仙,8 Her,6.130000114,622,晉增二,
天市左垣,b Aql,11.944416,31 Aql,95447,291.242501,"31,b Aql天鷹","31,b Aql",5.170000076,700,吳越增七,
宦者,,13.56742,,83504,255.991844,,,6.059999943,538,宦者增四,
壘壁陣,,-2.447711,5 Cet,664,2.050401,5 Cet鯨魚,5 Cet,6.179999828,1749,壘壁陣增七,
漸台,δ1 Lyr,36.971721,11 Lyr,92728,283.431498,"11,δ1 Lyr天琴","11,δ1 Lyr",5.579999924,1306,漸台增一,
芻?,,-10.777534,,11029,35.506382,,,5.43,2246,芻?五,
爟,,29.656536,15 Cnc,40240,123.286948,15 Cnc巨蟹,15 Cnc,5.62,2820,爟四,
酒旗,,14.34727,11 Leo,47266,144.505299,11 Leo獅子,11 Leo,6.630000114,2904,酒旗增三,
十二國,θ Cap,-17.232861,23 Cap,104139,316.486783,"23,θ Cap摩羯","23,θ Cap",4.08,1447,秦一,
勢,,30.682313,42 LMi,52638,161.466225,42 LMi小獅,42 LMi,5.36,212,勢三,
霹靂,θ Psc,6.378992,10 Psc,115830,351.992063,"10,θ Psc雙魚","10,θ Psc",4.27,1854,霹靂三,
內屏,,10.262341,12 Vir,59608,183.358077,12 Vir室女,12 Vir,5.849999905,391,內屏增四,
水位,μ Cnc,21.581816,10 Cnc,39780,121.941065,"10,μ Cnc巨蟹","10,μ Cnc",5.300000191,2670,水位增六,
奎宿,υ Psc,27.264059,90 Psc,6193,19.866646,"90,υ Psc雙魚","90,υ Psc",4.739999771,1918,奎宿增廿三,
天市左垣,A Her,31.40535,104 Her,89172,272.975654,"104,A Her武仙","104,A Her",4.960000038,678,中山增四,
星宿,,-10.570271,37 Hya,47427,144.947544,37 Hya長蛇,37 Hya,6.309999943,2926,星宿增十三,
闕丘,α Mon,-9.551131,26 Mon,37447,115.311802,"26,α Mon麒麟","26,α Mon",3.940000057,2711,闕丘增七,
奎宿,,42.081475,44 And,5493,17.578085,44 And仙女,44 And,5.670000076,1913,奎宿增十八,
天弁,α Sct,-8.244073,,91117,278.801778,α Sct盾牌,α Sct,3.85,1127,天弁一,
天倉,,-20.824539,57 Cet,9326,29.942498,57 Cet鯨魚,57 Cet,5.43,2059,天倉六,
北河,ο Gem,34.584346,71 Gem,37265,114.791379,"71,ο Gem雙子","71,ο Gem",4.889999866,2653,北河增二,
天弁,h Aql,-4.03142,15 Aql,93717,286.240299,"15,h Aql天鷹","15,h Aql",5.4,1134,天弁八,
右攝提,τ Boo,17.456906,4 Boo,67275,206.815596,"4,τ Boo牧夫","4,τ Boo",4.5,894,右攝提二,
大陵,ω Per,39.611582,28 Per,14817,47.822423,"28,ω Per英仙","28,ω Per",4.610000134,2125,大陵增十八,
天船,,53.079535,3 Cam,21727,69.977833,3 Cam鹿豹,3 Cam,5.070000172,2145,天船增七,
五帝內座,,79.673963,,5626,18.070089,,,5.599999905,86,五帝內座增二,
軒轅,,4.945414,9 Sex,48552,148.527932,9 Sex六分儀,9 Sex,6.71999979,3009,軒轅增四九,
天津,,38.722419,19 Cyg,97630,297.64165,19 Cyg天鵝,19 Cyg,5.179999828,1384,天津增二,
漸台,ν2 Lyr,32.551058,9 Lyr,92405,282.470487,"9,ν2 Lyr天琴","9,ν2 Lyr",5.21999979,1310,漸台增五,
貫索,σ CrB,33.858613,17 CrB,79607,243.670223,"17,σ CrB北冕","17,σ CrB",5.230000019,753,貫索增七,
翼宿,,-10.313105,,57587,177.097864,,,6.24,3059,翼宿十四,
內平,,31.468066,22 LMi,50218,153.776409,22 LMi小獅,22 LMi,6.47,3020,內平一,
天市右垣,τ6 Ser,16.024588,19 Ser,76810,235.246253,"19,τ6 Ser巨蛇","19,τ6 Ser",6,629,周增四,
弧矢,,-14.846175,10 PuP,38427,118.078661,10 PuP船尾,10 PuP,5.690000057,2768,弧矢增十一,
羽林軍,δ Aqr,-15.82082,76 Aqr,113136,343.662552,"76,δ Aqr寶瓶","76,δ Aqr",3.27,1776,羽林軍廿六,Skat
八魁,,-12.209438,9 Cet,1803,5.715784,9 Cet鯨魚,9 Cet,6.39,1808,八魁五,
參旗,π6 Ori,1.714016,10 Ori,23123,74.637091,"10,π6 Ori獵戶","10,π6 Ori",4.47,2425,參旗九,
右更,η Psc,15.345823,99 Psc,7097,22.870873,"99,η Psc雙魚","99,η Psc",3.62,2032,右更二,
羽林軍,ψ1 Aqr,-9.087737,91 Aqr,114855,348.972894,"91,ψ1 Aqr寶瓶","91,ψ1 Aqr",4.24,1789,羽林軍卅九,
天鉤,,63.584472,30 Cep,111797,339.662721,30 Cep仙王,30 Cep,5.190000057,1647,天鉤增十五,
鳥喙,β1 Tuc,-62.958218,,2484,7.886111,β1 Tuc杜鵑,β1 Tuc,4.36,3174,鳥喙四,
平,,-24.972249,47 Hya,68269,209.629775,47 Hya長蛇,47 Hya,5.199999809,841,平增二,
八穀,ξ Aur,55.706947,30 Aur,27949,88.711592,"30,ξ Aur御夫","30,ξ Aur",4.96,268,八穀二▂,
軫宿,ζ Crv,-22.215901,5 Crv,60189,185.140173,"5,ζ Crv烏鴉","5,ζ Crv",5.2,3086,長沙,
弧矢,,-23.310396,12 PuP,39023,119.773813,12 PuP船尾,12 PuP,5.090000153,2788,弧矢增卅一,
內平,,39.757851,43 Lyn,47570,145.501429,43 Lyn天貓,43 Lyn,5.610000134,3026,內平增三,
牛宿,π Cap,-18.211721,10 Cap,100881,306.830041,"10,π Cap摩羯","10,π Cap",5.08,1200,牛宿四,
軒轅,ε Leo,23.774255,17 Leo,47908,146.462804,"17,ε Leo獅子","17,ε Leo",2.97,2952,軒轅九,
天陰,,24.724063,64 Ari,15861,51.076979,64 Ari白羊,64 Ari,5.5,2237,天陰增二,
天廩,ο Tau,9.02887,1 Tau,15900,51.203307,"1,ο Tau金牛","1,ο Tau",3.61,2154,天廩四,
壘壁陣,,-6.962937,67 Aqr,112179,340.809429,67 Aqr寶瓶,67 Aqr,6.400000095,1744,壘壁陣增二,
三角形,ε TrA,-66.317038,,76440,234.180094,ε TrA南三角,ε TrA,4.110000134,3123,三角形增二,
柳宿,,11.626023,60 Cnc,43851,133.981451,60 Cnc巨蟹,60 Cnc,5.440000057,2889,柳宿增四,
右更,ο Psc,9.157736,110 Psc,8198,26.348461,"110,ο Psc雙魚","110,ο Psc",4.26,2034,右更四,
張宿,φ2 Hya,-16.344326,,51905,159.069412,φ2 Hya長蛇,φ2 Hya,6.010000229,3043,張宿增三,
天淵,ι Sgr,-41.868288,,98032,298.815406,ι Sgr人馬,ι Sgr,4.119999886,1182,天淵增一,
尚書,,70.497577,,80154,245.411919,,,7.32,55,尚書四*,
芻?,,-3.396175,81 Cet,12247,39.424168,81 Cet鯨魚,81 Cet,5.650000095,2251,芻?增四,
傅說,G Sco,-37.043304,,87261,267.464508,G Sco天蠍,G Sco,3.19,1087,傅說,
參宿,ψ1 Ori,1.846445,25 Ori,25302,81.186777,"25,ψ1 Ori獵戶","25,ψ1 Ori",4.889999866,2519,參宿增七,
平道,m Vir,-8.702984,82 Vir,66803,205.403236,"82,m Vir室女","82,m Vir",5.03,802,平道二,
柱,ι Lup,-46.058093,,69996,214.850925,ι Lup豺狼,ι Lup,3.55,857,柱三,
九斿,l Eri,-14.30402,53 Eri,21594,69.5451,"53,l Eri波江","53,l Eri",3.859999895,2450,九斿增四,
王良,λ Cas,54.522289,14 Cas,2505,7.943162,"14,λ Cas仙后","14,λ Cas",4.74,1923,王良五,
子,λ Col,-33.801361,,27810,88.278672,λ Col天鴿,λ Col,4.88,2735,子一,
常陳,,39.018616,6 CVn,60646,186.462244,6 CVn獵犬,6 CVn,5.01,443,常陳五,
火鳥,β Phe,-46.718414,,5165,16.521028,β Phe鳳凰,β Phe,3.32,3201,火鳥九,
杵,θ Ara,-50.091477,,88714,271.657796,θ Ara天壇,θ Ara,3.650000095,1103,杵增一,
積屍,M44,19.98333,M44,0,130.099995,M44,M44,3.7,2813,積屍,
婁宿,,23.025293,,7861,25.280071,,,7.449999809,1991,婁宿增四,
虛宿,ε Equ,4.293481,1 Equ,103569,314.768652,"1,ε Equ小馬","1,ε Equ",5.300000191,1468,虛宿增四,
折威,,-26.646155,57 Hya,72378,221.989823,57 Hya長蛇,57 Hya,5.760000229,922,折威增七,
天鉤,,62.257472,71 Dra,100221,304.902994,71 Dra天龍,71 Dra,5.710000038,1636,天鉤增四,
角宿,l1 Vir,-6.470265,72 Vir,65892,202.607184,"72,l1 Vir室女","72,l1 Vir",6.099999905,786,角宿增二,
羽林軍,,-13.529369,50 Aqr,110602,336.112752,50 Aqr寶瓶,50 Aqr,5.76,1767,羽林軍十七,
女床,e Her,37.291498,69 Her,84606,259.417727,"69,e Her武仙","69,e Her",4.64,736,女床二,
爟,,25.844481,13 Cnc,40007,122.554609,13 Cnc巨蟹,13 Cnc,6.440000057,2827,爟增五,
天市右垣,γ Ser,15.661617,41 Ser,78072,239.113262,"41,γ Ser巨蛇","41,γ Ser",3.85,612,四 鄭,
海山,,-59.56519,,52558,161.187614,,,7.35,3098,海山二▂,
天陰,,22.505805,,16428,52.879828,,,9.49,2235,天陰五*,
卷舌,,34.130758,55 Per,20579,66.12148,55 Per英仙,55 Per,5.730000019,2220,卷舌增二,
狗,ψ Sgr,-25.256683,42 Sgr,94643,288.885116,"42,ψ Sgr人馬","42,ψ Sgr",4.860000134,1170,狗增六,
井宿,,16.797022,23 Gem,31525,99.008873,23 Gem雙子,23 Gem,6.730000019,2600,井宿增八,
雷電,ζ Peg,10.831364,42 Peg,112029,340.365503,"42,ζ Peg飛馬","42,ζ Peg",3.41,1715,雷電一,Homan
九卿,,14.122584,29 Com,62541,192.22589,29 Com后髮,29 Com,5.710000038,373,九卿增二,
閣道,,60.551333,44 Cas,8046,25.832307,44 Cas仙后,44 Cas,5.78000021,1951,閣道增五,
青丘,,-32.988184,,56657,174.255071,,,6.320000172,3095,青丘增二,
三台,,43.048445,,50485,154.636733,,,6.480000019,469,中台增四,
常陳,,43.0456,67 UMa,58684,180.52828,67 UMa大熊,67 UMa,5.22,445,常陳七,
天市右垣,υ Ser,14.115348,31 Ser,77336,236.822163,"31,υ Ser巨蛇","31,υ Ser",5.710000038,640,周增十五,
柳宿,ω Hya,5.092316,18 Hya,44659,136.493195,"18,ω Hya長蛇","18,ω Hya",4.99,2884,柳宿七,
天紀,,32.333013,,80247,245.735412,,,6.409999847,723,天紀增四,
五車,,43.365138,59 Per,21928,70.726361,59 Per英仙,59 Per,5.300000191,2347,五車增一,
勢,,33.908145,27 LMi,50860,155.776366,27 LMi小獅,27 LMi,5.889999866,230,勢增十七,
天市右垣,α Ser,6.425627,24 Ser,77070,236.066979,"24,α Ser巨蛇","24,α Ser",2.63,615,七 蜀,Unukalhai
水府,f2 Ori,16.143175,72 Ori,29704,93.8547,"72,f2 Ori獵戶","72,f2 Ori",5.34,2616,水府三,
天江,,-26.984418,,84314,258.559374,,,6.64,1072,天江一,
梗河,c Boo,24.869196,45 Boo,73996,226.825275,"45,c Boo牧夫","45,c Boo",4.929999828,975,梗河增三,
翼宿,ι Crt,-13.201943,24 Crt,56802,174.666736,"24,ι Crt巨爵","24,ι Crt",5.48,3053,翼宿八,
雷電,σ Peg,9.835665,49 Peg,112935,343.100314,"49,σ Peg飛馬","49,σ Peg",5.16,1717,雷電三,
九斿,,-14.359192,,21685,69.832129,,,5.460000038,2452,九斿增六,
臼,,20.977984,28 Peg,109458,332.625762,28 Peg飛馬,28 Peg,6.449999809,1583,臼增五,
勾陳,η UMi,75.75533,21 UMi,79822,244.376199,"21,η UMi小熊","21,η UMi",4.949999809,28,勾陳增九,
勾陳,,86.25709,,5372,17.186989,,,4.24,15,勾陳五,
軒轅,,36.419619,33 Lyn,42090,128.682851,33 Lyn天貓,33 Lyn,5.760000229,2968,軒轅增八,
天門,,-15.973578,69 Vir,65639,201.863183,69 Vir室女,69 Vir,4.76,826,天門二,
四輔,,81.326382,,47193,144.272029,,,4.28000021,13,四輔增一,
大陵,,44.025024,30 Per,15338,49.447306,30 Per英仙,30 Per,5.489999771,2127,大陵增廿,
太微左垣,,3.056788,37 Vir,62757,192.903705,37 Vir室女,37 Vir,6.019999981,410,東次相增一,
五車,β Tau,28.60745,112 Tau,25428,81.572972,"112,β Tau金牛","112,β Tau",1.65,2346,五車五,Alnath
墳墓,γ Aqr,-1.387332,48 Aqr,110395,335.414064,"48,γ Aqr寶瓶","48,γ Aqr",3.86,1540,墳墓二,Sadachbia
