HIP,中文星名,英文星名
24436,參宿七,Rigel
24504,天潢三,
24555,參旗增六,
24608,五車二,Capella
24674,玉井四▅/參宿增卅八,
24727,天潢增一,
24740,天潢增二,
24748,五車增十八▅,
24813,鹹池三,
24817,參宿增八,
24822,天高四,
24836,八穀增十二,
24845,軍井三,
24873,軍井四,
24879,天潢一,
25028,參宿增卅九,
25044,參宿增五,
25048,鹹池一,
25110,六甲六,
25142,參宿增十,
25197,八穀增十一,
25202,軍井增一,
25247,參宿增卅七,
25281,參宿增三,
25282,參宿增四,
25292,天潢四,
25302,參宿增六▂/參宿增七,
25336,參宿五,Bellatrix
25410,天關增一,
25428,五車五,Alnath
25473,參宿增十一,
25539,天高增四,
25541,天潢二,
25606,廁二,Nihal
25695,諸王三,
25737,參宿增二,
25810,鹹池二,
25813,參宿增十三,
25853,廁增一,
25859,丈人二,
25861,參宿增十二,
25923,參宿增卅六,
25930,參宿三,Mintaka
25973,八穀增十,
25984,柱七,
25985,廁一,Arneb
26069,金魚三,
26126,參宿增十四,
26176,觜宿二,
26207,觜宿一,Meissa
26224,伐增二,
26235,伐二,
26237,伐一,
26241,伐三,
26248,諸王增三,
26268,伐增一,
26311,參宿二,Alnilam
26366,觜宿三,
26408,八穀增十五,
26451,天關,
26536,柱八,
26549,參宿增一,
26563,參宿增卅五,
26594,參宿增十五,
26634,丈人一,Phact
26640,諸王二,
26658,柱九*,
26700,八穀增十六,
26727,參宿一,Alnitak
26777,天關增二,
26865,廁增二/廁增八▂,
26885,參宿增十六,
26925,天關增六,
26942,八穀增九,
27046,八穀增十七,
27072,廁三,
27100,金魚四,
27106,天關增三,
27196,五車增十七,
27204,屎,
27249,八穀三,
27265,天關增四,
27283,八穀增八,
27288,廁增七,
27316,水府增二,
27321,老人增四,
27338,天關增五,
27364,水府增一,
27366,參宿六,Saiph
27386,參宿增十七,
27468,諸王增四,
27483,柱六,
27581,水府增三,
27592,八穀增七,
27628,子二,Wazn
27639,柱四,
27654,廁四,
27658,參宿增卅四,
27673,柱五,
27731,八穀增十八,
27743,水府增四/水府增五,
27750,參宿增廿二,
27810,子一,
27830,諸王一,
27913,司怪四,
27949,八穀二▂/八穀增六,
27965,司怪增三,
27971,八穀八,
27989,參宿四,Betelgeuse
28103,廁增六,
28199,子增一,
28237,司怪一,
28271,參宿增廿一,
28321,參宿增卅三,
28325,參宿增卅二,
28328,老人增三,
28358,八穀一,
28360,五車三,Menkalinan
28380,五車四,
28385,八穀增五,
28404,五車增十六,
28413,參宿增廿三,
28455,司怪增一,
