color_index,DEC,HIP no.,RA,mag,恆星視差
B0Iab...,-22.7802978201,88298,270.4765861283,5.72,-0.03
F0V,38.3149124236,63121,194.001884266,5.61,0.337
A2Vn,24.3099914799,86254,264.379560961,5.76,0.114
K0III,-42.8151354398,28328,89.7866885875,3.96,1.146
K1IV,-22.7950522424,23474,75.6874305149,5.74,1.188
F5V,-12.6174975562,99572,303.1077949889,5.84,0.476
B9Vn,25.1502151544,25695,82.3187505777,5.47,-0.042
G9III,76.9057336391,58952,181.312990842,5.78,1.029
B5Ia,-29.3031036025,35904,111.0237605601,2.45,-0.083
G6/G8III,-24.4823682891,21743,70.0283392161,5.56,0.926
G8II/III,-26.195767258,98353,299.7383281526,4.84,0.882
K1III,-35.4900188964,40344,123.5552343557,5.77,1.024
K2III,18.3770578119,61418,188.7823320898,5.03,1.152
B9.5p SiFe,47.9019232054,28499,90.2440056691,5.71,-0.007
K1IIICN...,-44.7962925724,3137,9.9664578304,6,1.142
K5III,-0.2759994546,30720,96.8149641375,5.55,1.376
B3Vn,-48.3590971779,43589,133.1608552873,5.92,-0.148
B2IV,-47.9289231467,41616,127.269797465,5.33,-0.14
A0Vvar,38.7836917958,91262,279.2347351065,0.03,-0.001
B6IV,23.8662017104,90637,277.3987934129,5.87,-0.096
B3V,-52.3684602878,59449,182.9129630328,3.97,-0.156
B2V,-19.8018600662,78821,241.3606408134,4.9,-0.024
F5V,3.0601654791,56445,173.5914578921,5.76,0.48
B5V,-23.5915140497,47522,145.3208642342,4.76,-0.117
A2V,-23.1108458753,28943,91.633735883,5.46,0.064
F5Ib,49.8611795912,15863,51.0807097943,1.79,0.481
Kp...,-39.7551073593,65535,201.5323613013,5.11,1.181
B7III,47.9474053007,1372,4.2876821563,5.86,-0.079
B7IV,10.6105649844,11249,36.2044013618,5.48,-0.098
M2III,49.2202972722,101243,307.82840129,5.44,1.566
B5III,-10.5979304543,28574,90.4600905576,4.92,-0.128
K4III,21.2641055394,67480,207.4284714253,4.92,1.432
G5Ibv SB,16.6347991535,98085,299.0052665367,5.71,0.903
F7V,17.4569060438,67275,206.8155955349,4.5,0.508
K0III,39.2361981646,116076,352.8225580097,5.22,1.029
A7IVn,-3.6516010366,55084,169.1654203107,4.45,0.21
A8III,20.0452326568,88899,272.2202649026,5.1,0.176
F3/F5V,-35.1331195833,950,2.9333692783,5.24,0.459
B2.5V,-26.2967222487,92855,283.8163571633,2.05,-0.134
A5V,40.8993324961,76041,232.9457572697,4.98,0.086
B8IV,-73.4466849654,76750,235.088886684,5.64,-0.04
F4V,50.2211026575,96441,294.11056248,4.49,0.395
G8III,-64.0313500515,73776,226.2007767725,5.16,0.935
B9Vn,-56.176224144,62058,190.7882479707,5.99,-0.074
B2Vne,-49.8761448017,85792,262.9603886731,2.84,-0.136
K1III,-16.8159082187,29895,94.4238480231,5.15,1.293
G8IIb,32.3072872037,102066,310.2605919546,5.53,0.871
A7m,-40.9435096133,25488,81.7721689321,5.86,0.239
B2IV,-38.0175356572,82545,253.0839330898,3.56,-0.21
M0III,31.7440717411,93718,286.2411464602,5.63,1.548
A4V,1.8187678624,93580,285.8843867175,5.82,0.182
G8III,40.3905656891,73555,225.4865097541,3.49,0.956
F7IV,-0.6956530186,12530,40.3083273551,5.72,0.511
F0IV,37.9469578789,78012,238.9482787405,5.43,0.352
K0III,44.6949359765,96459,294.1582377025,5.17,0.928
B3V,-40.8932681347,34339,106.7794904433,5.8,-0.158
K0III-IV,34.214871125,53229,163.3279379111,3.79,1.04
K4III,-21.2833827897,22086,71.2673384087,5.72,1.476
Ap Si(Cr),-18.7159676087,69929,214.6593993135,5.86,0.013
K5II,-2.5499571504,101692,309.1818014856,4.91,1.606
K0III,-19.0449912771,97783,298.0500147746,5.88,0.979
B9.5V,16.9555507945,8387,27.0455698662,5.86,-0.039
K0III,-18.3083883143,95188,290.4620648659,5.84,1.062
K0II-IIIvar,56.5373310888,3179,10.126835478,2.24,1.17
A1IV/V,-14.5658134483,90595,277.2993907196,4.67,0.076
G2V,-12.4912695009,23831,76.8540137441,5.97,0.606
G3III:,-1.0348961142,11791,38.0392536627,5.36,1.004
