key_hip,DEC,HIP,RA,Stellar_parallax,color_index,mag
23474_hip,-22.79505224,23474,75.68743051,1.188,K1IV,5.74
2487_hip,-62.96556114,2487,7.889450448,0.147,A2V,4.53
59747_hip,-58.74892785,59747,183.7863155,-0.193,B2IV,2.79
112862_hip,-29.53630903,112862,342.8372472,0.907,G8/K0III,5.99
60009_hip,-64.00307078,60009,184.609369,-0.168,B2.5V,4.06
71571_hip,18.29837944,71571,219.5582805,1.099,K2III:,5.9
12821_hip,67.82463015,12821,41.20707139,0.136,A5III,5.95
40888_hip,-77.48447728,40888,125.1605852,1.161,K0III-IV,4.34
52139_hip,37.91000015,52139,159.7818023,0.595,F9V,5.84
76852_hip,19.67040059,76852,235.3877301,0.062,A1V,4.51
107472_hip,22.94887978,107472,326.5181846,1.381,K0Ib,5.29
62956_hip,55.95982116,62956,193.5072893,-0.022,A0p,1.76
3786_hip,7.585079166,3786,12.17060122,1.5,K5III,4.44
5926_hip,71.74384251,5926,19.04957827,2.042,K1V,5.87
61015_hip,-23.69641863,61015,187.5726905,1.67,M0III,5.63
91235_hip,33.46903643,91235,279.1555981,-0.101,B8II-IIIp..,5.41
98512_hip,-45.11291835,98512,300.2013601,0.295,A8III,5.8
85927_hip,-37.10382115,85927,263.4021666,-0.231,B1.5IV+...,1.62
78592_hip,46.03670491,78592,240.6995756,-0.094,B9III,4.72
34987_hip,3.111413964,34987,108.5835942,1.193,K0III,5.36
116709_hip,50.47173289,116709,354.7847169,-0.061,B9V,5.35
21763_hip,-19.67149284,21763,70.11046417,1.599,M3/M4III,4.32
40702_hip,-76.91972263,40702,124.6314581,0.413,F5III,4.05
66320_hip,-5.396191198,66320,203.8804007,0.95,G6III,5.7
98571_hip,50.1046949,98571,300.3398471,1.122,K1II-III,5.06
116928_hip,1.78004078,116928,355.5116924,0.2,A7V,4.49
20982_hip,83.34037923,20982,67.50151557,0.855,G8III,5.47
56445_hip,3.060165479,56445,173.5914579,0.48,F5V,5.76
100108_hip,36.99980266,100108,304.6193977,0.056,A2V,5.58
114971_hip,3.282288891,114971,349.2914079,0.916,G7III,3.7
33048_hip,59.4485433,33048,103.2710385,0.675,G4III...,5.34
116901_hip,-17.816533,116901,355.4408582,0.822,G2Ib/II,4.82
114155_hip,25.46825863,114155,346.7780807,1.285,K0IIp,4.76
